packagePath,componentName,description,recommendToBlock
androidx.room,MultiInstanceInvalidationServive,"A Service for remote invalidation among multiple InvalidationTracker instances. This service runs in the main app process. All the instances of InvalidationTracker (potentially in other processes) has to connect to this service.
The intent to launch it can be specified by RoomDatabase.Builder.setMultiInstanceInvalidationServiceIntent, although the service is defined in the manifest by default so there should be no need to override it in a normal situation.",false
com.absinthe.libchecker.services,name,description,true
